"sumava","Sumava"
"krusne_hory","Krusné
hory"
"ceske_stredohori","Ceské
Stredohorí"
"krkonose","Krkonose"
"jizerske_hory","Jizerské
hory"
"orlicke_hory","Orlické
hory"
"hruby_jesenik","Hrubý
Jeseník"
"beskydy","Beskydy"
"ceskomoravska_vrchovina","Ceskomoravská
vrchovina"
"bile_karpaty","Bílé
Karpaty"
"cesky_les","Ceský
les"
"drahanska_vrchovina","Drahanská
vrchovina"
"rychlebske_hory","Rychlebské
hory"
"nizky_jesenik","Nízký
Jeseník"
"plzenska_pahorkatina","Plzenská
pahorkatina"
"novohradske_hory","Novohradské
hory"
"chriby","Chriby"
"doupovske_hory","Doupovské
hory"
"brdy","Brdy"
"jestedsko_kozakovsky_hrbet","Jestedsko-kozákovský
hrbet"
"luzicke_hory","Luzické
hory"
"javorniky","Javorníky"
"stredoceska_pahorkatina","Stredoceská
pahorkatina"
"labe","Labe"
"vltava","Vltava"
"berounka","Berounka"
"sazava","Sázava"
"otava","Otava"
"luznice","Luznice"
"morava","Morava"
"orlice","Orlice"
"odra","Odra"
"ostravice","Ostravice"
"dyje","Dyje"
"jihlava","Jihlava"
"svratka","Svratka"
"svitava","Svitava"
"opava","Opava"
"jizera","Jizera"
"uslava","Úslava"
"uhlava","Úhlava"
"radbuza","Radbuza"
"mze","Mze"
"becva","Becva"
"ohre","Ohre"
